product_name,product_description,price,ratings,reviews,product_link,image_link,website,date
Dell Latitude 3540 Laptop,"Processor: Intel 1355U, RAM: 64GB, Storage: 4000GB SSD, OS: Windows 11 Professional, Display: 15.6 inches 1920x1080 MP",147155.0,Not Available,No reviews available,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDkxNTk5NDMzNDA3NDI6MTczMDY3NjY2NTpzcF9hdGZfYnJvd3NlOjMwMDUwMTQ3MTcwNDIwMjo6MDo6&url=%2FDell-Latitude-3540-Laptop-1920x1080%2Fdp%2FB0D7BNFZV3%2Fref%3Dsr_1_625_sspa%3Fdib%3DeyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw%26dib_tag%3Dse%26qid%3D1730676665%26s%3Dpc%26sr%3D1-625-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Not Available,Amazon,2024-11-04 18:23:39
HP 17t-cn3004,"Processor: Intel Intel Core i5, RAM: 64GB, Storage: 4096GB SSD, OS: Windows 11 Pro, Display: 17.3 inches 1600x900 Pixels",65404.0,5.0,Excellent performance and premium build quality,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDkxNTk5NDMzNDA3NDI6MTczMDY3NjY2NTpzcF9hdGZfYnJvd3NlOjMwMDQxMDU1NTY5MzMwMjo6MDo6&url=%2FHP-Business-Student-i5-1334U-Lifetime%2Fdp%2FB0D8V4X2NK%2Fref%3Dsr_1_626_sspa%3Fdib%3DeyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw%26dib_tag%3Dse%26qid%3D1730676665%26s%3Dpc%26sr%3D1-626-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Not Available,Amazon,2024-11-04 18:23:42
"Dell Dell Inspiron 15.6"" Touchscreen Laptop","Processor: Intel 1355U, RAM: 32GB, Storage: 4096GB SSD, OS: Windows 11 Pro, Display: 15.6 inches 1920x1080 Pixels",91299.0,Not Available,No reviews available,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDkxNTk5NDMzNDA3NDI6MTczMDY3NjY2NTpzcF9hdGZfYnJvd3NlOjMwMDQ0NjYyNTU4OTMwMjo6MDo6&url=%2FDell-Inspiron-Touchscreen-Laptop-Microsoft%2Fdp%2FB0C6PTN9GH%2Fref%3Dsr_1_627_sspa%3Fdib%3DeyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw%26dib_tag%3Dse%26qid%3D1730676665%26s%3Dpc%26sr%3D1-627-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Not Available,Amazon,2024-11-04 18:23:45
Apple MacBook Pro,"Processor: Intel Core i9, RAM: 16GB, Storage: 2048GB SSD, OS: Mac OS X 10.0 Cheetah, Display: 16.0 inches 2560 x 1600 Pixels",47475.0,4.0,Very good laptop with solid performance,https://www.amazon.com/2019-Apple-MacBook-16-inch-1TB-SSD-Storage/dp/B08DDB4R6T/ref=sr_1_629?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-629,Not Available,Amazon,2024-11-04 18:23:54
HP TPN-Q279,"Processor: AMD Ryzen 5, RAM: 16GB, Storage: 2048GB SSD, OS: Windows 11 Home, Display: 15.6 inches 1920 x 1080 Pixels",62746.0,3.8,"Average performance, decent for daily use",https://www.amazon.com/HP-i7-1355U-i5-14400F-GeForce-Backlit/dp/B0D9KHZ12S/ref=sr_1_630?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-630,Not Available,Amazon,2024-11-04 18:23:57
HP HP,"Processor: AMD Ryzen 3, RAM: 64GB, Storage: 2000GB SSD, OS: Windows 11, Display: 14.0 inches 1366 x 768 Pixels",58514.0,Not Available,No reviews available,https://www.amazon.com/HP-Computer-Touchscreen-Business-Portable/dp/B0DKNM32PQ/ref=sr_1_631?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-631,Not Available,Amazon,2024-11-04 18:24:00
ist computers Lenovo ThinkPad P15v Gen 3,"Processor: Intel Core i7 Family, RAM: 64GB, Storage: 4096GB SSD, OS: Windows 11 Pro, Display: 15.6 inches 1920 x 1080 Pixels",107899.0,4.0,Very good laptop with solid performance,https://www.amazon.com/ThinkPad-P15v-Gen-Workstation-Fingerprint/dp/B0CJV4KKJX/ref=sr_1_632?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-632,Not Available,Amazon,2024-11-04 18:24:05
Dell Dell Inspiron Laptop,"Processor: Intel Intel Celeron D, RAM: 32GB, Storage: 2048GB SSD, OS: Windows 11, Display: 15.6 inches 1366 x 768 Pixels",38927.0,4.6,Excellent performance and premium build quality,https://www.amazon.com/Dell-Inspiron-Laptop-Dual-Core-Anti-Glare/dp/B0D7F7QXQM/ref=sr_1_633?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-633,Not Available,Amazon,2024-11-04 18:24:09
HP Newest HP 14 Inch Laptop,"Processor: Intel Celeron N, RAM: 16GB, Storage: 64GB SSD, OS: Windows 11 Home, Display: 14.0 inches 1366 x 768 Pixels",23987.0,4.2,Very good laptop with solid performance,https://www.amazon.com/HP-Newest-14-Laptop-HubxcelAccessory/dp/B0CVVJSBKD/ref=sr_1_634?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-634,Not Available,Amazon,2024-11-04 18:24:14
ASUS Business Laptop,"Processor: Intel Intel Core i3, RAM: 24GB, Storage: 2048GB SSD, OS: Windows 11 Pro, Display: 14.0 inches 1920 x 1080 Pixels",29797.0,3.9,"Average performance, decent for daily use",https://www.amazon.com/ASUS-VivoBook-Laptop-Processor-Bluetooth/dp/B0DB2LR7LM/ref=sr_1_635?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-635,Not Available,Amazon,2024-11-04 18:24:19
